DOCID 	 FREQUENCY
0 	 0.html
1 	 1.html
2 	 2.html
3 	 3.html
4 	 4.html
5 	 5.html
6 	 6.html
7 	 7.html
8 	 8.html
9 	 9.html
10 	 10.html
11 	 11.html
12 	 12.html
13 	 13.html
14 	 15.html
15 	 16.html
16 	 17.html
17 	 18.html
18 	 19.html
19 	 20.html
20 	 21.html
21 	 22.html
22 	 23.html
23 	 24.html
24 	 25.html
25 	 26.html
26 	 27.html
27 	 28.html
28 	 29.html
29 	 30.html
30 	 31.html
31 	 32.html
32 	 33.html
33 	 34.html
34 	 35.html
35 	 36.html
36 	 37.html
37 	 38.html
38 	 39.html
39 	 40.html
40 	 41.html
41 	 42.html
42 	 43.html
43 	 44.html
44 	 45.html
45 	 46.html
46 	 48.html
47 	 49.html
48 	 50.html
49 	 51.html
50 	 52.html
51 	 53.html
52 	 54.html
53 	 55.html
54 	 56.html
55 	 57.html
56 	 58.html
57 	 59.html
58 	 61.html
59 	 62.html
60 	 63.html
61 	 64.html
62 	 65.html
63 	 66.html
64 	 67.html
65 	 68.html
66 	 69.html
67 	 71.html
68 	 72.html
69 	 73.html
70 	 74.html
71 	 75.html
72 	 76.html
73 	 77.html
74 	 78.html
75 	 79.html
76 	 80.html
77 	 81.html
78 	 82.html
79 	 83.html
80 	 84.html
81 	 85.html
82 	 86.html
83 	 87.html
84 	 88.html
85 	 89.html
86 	 90.html
87 	 91.html
88 	 92.html
89 	 93.html
90 	 94.html
91 	 95.html
92 	 96.html
93 	 97.html
94 	 98.html
95 	 99.html
96 	 101.html
97 	 102.html
98 	 103.html
99 	 104.html
100 	 105.html
101 	 106.html
102 	 107.html
103 	 108.html
104 	 110.html
105 	 115.html
106 	 117.html
107 	 118.html
108 	 119.html
109 	 120.html
110 	 121.html
111 	 122.html
112 	 123.html
113 	 124.html
114 	 125.html
115 	 126.html
116 	 129.html
117 	 132.html
118 	 134.html
119 	 136.html
120 	 137.html
121 	 140.html
122 	 141.html
123 	 142.html
124 	 144.html
125 	 148.html
126 	 149.html
127 	 150.html
128 	 151.html
129 	 152.html
130 	 155.html
131 	 156.html
132 	 158.html
133 	 159.html
134 	 160.html
135 	 161.html
136 	 162.html
137 	 165.html
138 	 172.html
139 	 173.html
140 	 174.html
141 	 175.html
142 	 176.html
143 	 178.html
144 	 179.html
145 	 180.html
146 	 181.html
147 	 182.html
148 	 183.html
149 	 184.html
150 	 185.html
151 	 186.html
152 	 190.html
153 	 192.html
154 	 195.html
155 	 199.html
156 	 201.html
157 	 202.html
158 	 204.html
159 	 205.html
160 	 209.html
161 	 210.html
162 	 212.html
163 	 213.html
164 	 215.html
165 	 217.html
166 	 218.html
167 	 219.html
168 	 220.html
169 	 221.html
170 	 222.html
171 	 223.html
172 	 224.html
173 	 225.html
174 	 226.html
175 	 227.html
176 	 228.html
177 	 229.html
178 	 230.html
179 	 231.html
180 	 232.html
181 	 233.html
182 	 234.html
183 	 235.html
184 	 236.html
185 	 237.html
186 	 238.html
187 	 239.html
188 	 240.html
189 	 241.html
190 	 242.html
191 	 243.html
192 	 244.html
193 	 245.html
194 	 246.html
195 	 247.html
196 	 248.html
197 	 249.html
198 	 250.html
199 	 251.html
200 	 252.html
201 	 253.html
202 	 254.html
203 	 255.html
204 	 256.html
205 	 257.html
206 	 258.html
207 	 259.html
208 	 260.html
209 	 261.html
210 	 262.html
211 	 263.html
212 	 264.html
213 	 265.html
214 	 266.html
215 	 267.html
216 	 268.html
217 	 269.html
218 	 270.html
219 	 271.html
220 	 272.html
221 	 273.html
222 	 274.html
223 	 275.html
224 	 276.html
225 	 277.html
226 	 278.html
227 	 279.html
228 	 280.html
229 	 281.html
230 	 282.html
